Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn);Middel av høye vindkastverdier (døgn)
Oslo - Blindern;SN18700;29.10.2014;2.7;7.9
Oslo - Blindern;SN18700;30.10.2014;1.4;3.1
Oslo - Blindern;SN18700;31.10.2014;2.4;3.9
Oslo - Blindern;SN18700;01.11.2014;2.2;3.7
Oslo - Blindern;SN18700;02.11.2014;3.2;6.1
Oslo - Blindern;SN18700;03.11.2014;2.4;5.5
Oslo - Blindern;SN18700;04.11.2014;2.6;5.5
Oslo - Blindern;SN18700;05.11.2014;4.2;8.1
Oslo - Blindern;SN18700;06.11.2014;4.3;8.1
Oslo - Blindern;SN18700;07.11.2014;3.1;6
Oslo - Blindern;SN18700;08.11.2014;2.8;6
Oslo - Blindern;SN18700;09.11.2014;3.1;5.4
Oslo - Blindern;SN18700;10.11.2014;1.8;4.8
Oslo - Blindern;SN18700;11.11.2014;1.6;2.8
Oslo - Blindern;SN18700;12.11.2014;4.4;6.9
Oslo - Blindern;SN18700;13.11.2014;5.7;9.2
Oslo - Blindern;SN18700;14.11.2014;4.7;9.1
Oslo - Blindern;SN18700;15.11.2014;4;7.6
Oslo - Blindern;SN18700;16.11.2014;4.3;7.9
Oslo - Blindern;SN18700;17.11.2014;5.3;8.9
Oslo - Blindern;SN18700;18.11.2014;4.2;7.9
Oslo - Blindern;SN18700;19.11.2014;3.4;6.3
Oslo - Blindern;SN18700;20.11.2014;2;4.1
Oslo - Blindern;SN18700;21.11.2014;1.5;3.2
Oslo - Blindern;SN18700;22.11.2014;1.5;2.4
Oslo - Blindern;SN18700;23.11.2014;2.3;4.5
Oslo - Blindern;SN18700;24.11.2014;2.1;5.2
Oslo - Blindern;SN18700;25.11.2014;1.1;2.5
Oslo - Blindern;SN18700;26.11.2014;0.6;1.8
Oslo - Blindern;SN18700;27.11.2014;2.4;3.4
Oslo - Blindern;SN18700;28.11.2014;2.6;4.9
Oslo - Blindern;SN18700;29.11.2014;2.1;4.7
Oslo - Blindern;SN18700;30.11.2014;1.5;3.7
Oslo - Blindern;SN18700;01.12.2014;1.5;3.2
Oslo - Blindern;SN18700;02.12.2014;1.9;4
Oslo - Blindern;SN18700;03.12.2014;1;2.3
Oslo - Blindern;SN18700;04.12.2014;1.2;2.6
Oslo - Blindern;SN18700;05.12.2014;1.2;2.8
Oslo - Blindern;SN18700;06.12.2014;1;2
Oslo - Blindern;SN18700;07.12.2014;1.9;4
Oslo - Blindern;SN18700;08.12.2014;1;3.1
Oslo - Blindern;SN18700;09.12.2014;2;2.4
Oslo - Blindern;SN18700;10.12.2014;4.7;11.1
Oslo - Blindern;SN18700;11.12.2014;3.2;7.4
Oslo - Blindern;SN18700;12.12.2014;1.5;4
Oslo - Blindern;SN18700;13.12.2014;1.7;3.4
Oslo - Blindern;SN18700;14.12.2014;3.3;4.3
Oslo - Blindern;SN18700;15.12.2014;3.2;8.7
Oslo - Blindern;SN18700;16.12.2014;2.3;5.6
Oslo - Blindern;SN18700;17.12.2014;1.4;3.1
Oslo - Blindern;SN18700;18.12.2014;0.9;2.1
Oslo - Blindern;SN18700;19.12.2014;1.3;2.6
Oslo - Blindern;SN18700;20.12.2014;1.7;3.4
Oslo - Blindern;SN18700;21.12.2014;1.4;3.1
Oslo - Blindern;SN18700;22.12.2014;1.2;2.8
Oslo - Blindern;SN18700;23.12.2014;1.7;3.1
Oslo - Blindern;SN18700;24.12.2014;3.4;6.1
Oslo - Blindern;SN18700;25.12.2014;2.1;4.4
